table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 7. Resident Population Estimates for the 100 Largest U.S. Counties Based on July 1, 2009 Population Estimates: April 1, 2000 to July 1, 2009",,,,,,,,,,,,,
Rank,Geographic Area,Population Estimates,,,,,,,,,,"April 1, 2000",
,,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
35,"Orange County, FL","1,086,480","1,075,737","1,066,117","1,053,941","1,029,447","993,478","965,744","946,806","927,735","902,756","896,354","896,344"
36,"Contra Costa County, CA","1,041,274","1,025,464","1,010,542","1,001,303","999,271","992,747","987,662","980,446","971,487","953,192","948,817","948,816"
37,"Fairfax County, VA","1,037,605","1,019,402","1,005,531","998,841","1,002,375","996,798","992,494","989,551","984,581","974,761","969,683","969,749"
38,"Salt Lake County, UT","1,034,989","1,018,527","1,002,425","985,487","960,067","948,223","936,378","924,534","914,334","901,051","898,412","898,387"
39,"Fulton County, GA","1,033,756","1,013,356","990,790","963,596","934,242","905,802","881,850","862,931","846,877","817,145","815,827","816,006"
40,"Travis County, TX","1,026,158","998,561","970,477","937,423","901,185","878,877","862,463","852,965","847,941","820,927","812,284","812,280"
41,"Pima County, AZ","1,020,200","1,009,832","996,593","975,476","948,965","924,205","903,320","886,063","865,694","848,521","843,742","843,746"
42,"St. Louis County, MO","992,408","992,331","993,690","996,664","999,523","1,004,271","1,008,956","1,012,999","1,015,705","1,016,364","1,016,301","1,016,315"
43,"Montgomery County, MD","971,600","953,685","941,491","935,168","928,916","920,965","914,893","906,145","893,275","877,363","873,346","873,341"
44,"Milwaukee County, WI","959,521","953,973","952,185","952,374","951,265","952,274","951,073","948,363","944,143","939,734","940,165","940,164"
45,"Westchester County, NY","955,962","949,835","946,563","945,172","947,719","947,121","944,440","941,747","935,294","925,505","923,459","923,459"
46,"DuPage County, IL","932,541","927,382","922,948","922,190","922,589","922,962","920,457","918,864","914,228","906,576","904,163","904,161"
47,"Shelby County, TN","920,232","919,137","919,964","919,179","912,418","908,922","906,280","902,605","899,543","898,279","897,472","897,472"
48,"Fresno County, CA","915,267","903,133","889,888","878,024","867,438","857,162","844,194","828,245","812,426","801,444","798,821","799,407"
49,"Mecklenburg County, NC","913,639","892,456","865,573","833,791","800,486","774,432","755,018","737,512","720,968","700,786","695,378","695,454"
50,"Erie County, NY","909,247","909,858","911,784","916,292","923,820","932,002","936,931","940,645","945,165","949,494","950,265","950,265"
51,"Pinellas County, FL","909,013","910,058","912,764","918,551","924,628","924,605","923,484","923,557","923,153","922,261","921,497","921,482"
52,"Honolulu County, HI","907,574","902,745","898,695","903,467","900,340","894,406","888,026","882,628","877,189","875,061","876,158","876,156"
53,"Fairfield County, CT","901,208","894,401","889,067","888,526","891,015","892,291","892,311","890,635","888,036","884,420","882,567","882,567"
54,"Wake County, NC","897,214","868,068","831,746","792,940","753,828","723,095","701,347","680,443","659,127","633,517","627,879","627,846"
55,"Bergen County, NJ","895,250","889,915","885,664","884,581","887,322","890,232","889,739","889,442","888,333","885,329","884,122","884,118"
56,"Marion County, IN","890,879","883,107","878,190","873,347","868,883","866,945","865,923","864,857","865,100","860,972","860,457","860,454"
57,"Hartford County, CT","879,835","876,319","874,107","871,743","870,039","868,109","868,343","864,497","861,183","858,422","857,183","857,183"
58,"Duval County, FL","857,040","853,116","848,841","842,100","830,828","821,644","812,238","802,673","791,064","779,803","778,866","778,879"
59,"Hamilton County, OH","855,062","853,508","855,928","847,656","847,182","846,707","847,484","848,344","849,398","844,316","845,302","845,303"
60,"New Haven County, CT","848,006","845,573","843,619","841,055","839,408","838,429","837,258","832,376","828,610","824,992","824,011","824,008"
61,"Prince George's County, MD","834,560","830,514","832,699","836,644","840,513","836,103","830,923","824,290","815,028","803,189","801,516","801,515"
62,"Macomb County, MI","831,427","830,037","828,875","827,719","824,286","820,015","813,378","807,022","799,945","790,821","788,149","788,149"
